FAC_NAME,DISTRICT,FACILITY,PHONE,BOX_NO,FAX,DIST_DHO,TIME,X,Y,CO_ORDINAT,NEAR_FAC,DATE_APPR,ROAD,NO_BED,OCCUP_RATE,DAT_CONSTR,FUNDEDBY,OWNER,POPULATION,NO_OP,NO_BIRTH_,PLAN_DHO,PLAN_MOW,DONATION,PERC_DONA,BUDG_APPRO,BUDG_ACT,COST_ACT,DIFFER_BY,REVENUE,FACODE,OBJECTID,IFDCMAP,LATITUDE,LONGITUDE,BUSI_DESCR,BUSI_NAME,ADDRESS,TA_VILLAGE,EPA,ID_ACC,POINTID
ALINIFE,MCHINJI,DISPENSARY,,PVT BAG 6 MAGOWA,,"18",15min,33.041667,-13.825000,13 49 30 - 33 02,,1998/03/03,TAR - GOOD,"0","0","1992",PRIVATE,PVT,"0","12000","0","0","0",,"0",0.00,0.00,0.00,,50000.00,"200","0",,0.00000000000,0.00000000000,,,,,,"0","0"
CHABUKA,MCHINJI,DISPENSARY,,BOX 211 MKANDA,,"39.7",40min,32.958333,-13.516667,13 31 00 - 32 57,,1998/03/02,TAR/DIRT - FAIR,"0","0","1994",PRIVATE,PVT,"0","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"201","0",,0.00000000000,0.00000000000,,,,,,"1","1"
CHIMWANKANGO,MCHINJI,DISPENSARY,,BOX 55 CHIMWANKANGO,,"59.7",48min,33.015556,-13.415556,13 24 56 - 33 00,,1998/03/02,TAR/DIRT - FAIR,"0","0","1975",CHIMWAVI,PVT,"0","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"202","0",,0.00000000000,0.00000000000,,,,,,"2","2"
CHIOSHYA,MCHINJI,DISPENSARY/MATERNITY,,BOX 109 MAGOWA,,"42",1hr 5min,33.183333,-13.798611,13 47 55 - 33 11,,1998/03/05,TAR/DIRT - GOOD,"4","50","1978",LOCAL GOVT,LG,"1600","5200","120","0","0",,"0",0.00,0.00,0.00,,0.00,"203","0",,0.00000000000,0.00000000000,,,,,,"3","3"
CHIPUMI,MCHINJI,DISPENSARY/MATERNITY,,BOX 85 MAGOWA,,"44.2",45min,33.083056,-13.619722,13 37 11 - 33 04,,1998/03/03,TAR/DIRT - GOOD,"10","66","1987",MOH,MOH,"80000","0","124","0","1",,"0",0.00,0.00,0.00,,0.00,"204","0",,0.00000000000,0.00000000000,,,,,,"4","4"
GUILLEME ST MICHAELS,MCHINJI,PRIMARY HEALTH CENTRE,,BOX 230 MAGOWA,,"28",35min,33.073889,-13.886944,13 53 13 - 33 04,,1998/03/03,TAR/DIRT - GOOD,"40","112","1930",CATHOLIC CHURCH,CHAM,"24919","19996","775","0","0",,"0",6359750.00,625354.00,0.00,,190920.00,"205","0",,0.00000000000,0.00000000000,,,,,,"5","5"
ITES,MCHINJI,DISPENSARY,,BOX 18 MCHINJI,,"2",2min,32.888889,-13.797222,13 47 50 - 32 53,,1998/03/03,TAR - GOOD,"0","0","1995",PRIVATE,PVT,"0","2983","0","0","0",,"0",0.00,0.00,0.00,,200000.00,"206","0",,0.00000000000,0.00000000000,,,,,,"6","6"
KAFUTSA,MCHINJI,DISPENSARY,,BOX 44 KAPIRI,,"68",1hr,33.120000,-13.419167,13 25 09 - 33 07,,1998/03/02,TAR - GOOD,"0","0","1989",PRIVATE,PVT,"0","10000","0","0","0",,"0",0.00,0.00,0.00,,60000.00,"207","0",,0.00000000000,0.00000000000,,,,,,"7","7"
KAIGWAZANGA,MCHINJI,DISPENSARY/MATERNITY,,PVT BAG 5 MCHINJI,,"17.4",30min,32.928611,-13.628889,13 37 44 - 32 55,,1998/03/01,TAR/DIRT - FAIR,"8","62","1987",MOH,MOH,"21000","56000","59","0","1",,"0",0.00,0.00,0.00,,0.00,"208","0",,0.00000000000,0.00000000000,,,,,,"8","8"
KAPANGA,MCHINJI,DISPENSARY/MATERNITY,,BOX 222 NAMITETE,,"68",1hr 10min,33.338056,-14.078056,14 04 41 - 33 20,,1998/03/05,TAR/DIRT - FAIR,"13","85","1992",MOH,MOH,"18864","30000","288","0","1",,"0",0.00,0.00,0.00,,0.00,"209","0",,0.00000000000,0.00000000000,,,,,,"9","9"
KAPIRI,MCHINJI,DISPENSARY/MATERNITY,KAPIRI 22,BOX 5 KAPIRI,,"70",1hr 10min,33.170833,-13.554722,13 33 17 - 33 10,,1998/03/02,TAR - GOOD,"40","150","1972",CHAM,CHAM,"150000","14200","1111","1","1",,"0",0.00,0.00,0.00,,720000.00,"210","0",,0.00000000000,0.00000000000,,,,,,"10","10"
KOCHILIRA,MCHINJI,PRIMARY HEALTH CENTRE,MAG 0-2412,BOX 85 MAGOWA,,"26",35min,33.048889,-13.769167,13 46 09 - 33 02,,1998/03/03,TAR - GOOD,"42","375","1956",MOH,MOH,"25000","37500","336","0","0",,"0",934661.00,1817672.00,0.00,,0.00,"211","0",,0.00000000000,0.00000000000,,,,,,"11","11"
LUDZI,MCHINJI,PRIMARY HEALTH CENTRE,,BOX 30 MCHINJI,,"14",20min,32.995833,-13.755556,13 45 20 - 32 59,,1998/03/05,TAR/DIRT - GOOD,"51","40",,CATHOLIC CHURCH,CHAM,"0","32144","396","0","0",,"0",614868.00,607639.00,0.00,,182424.00,"212","0",,0.00000000000,0.00000000000,,,,,,"12","12"
WALIRANGI MALUMBO,MCHINJI,DISPENSARY,,BOX 259 MCHINJI,,"12",10min,32.986111,-13.611111,13 36 40 - 32 59,,1998/03/05,TAR - GOOD,"0","0","1998",PRIVATE,PVT,"0","0","0","0","0",,"0",0.00,0.00,0.00,,3000.00,"213","0",,0.00000000000,0.00000000000,,,,,,"13","13"
MKANDA,MCHINJI,DISPENSARY/MATERNITY,,BOX 210 MKANDA,,"40.7",42min,32.959167,-13.513056,13 30 47 - 32 57,,1998/03/02,TAR/DIRT - FAIR,"12","25","1977",MOH,MOH,"0","0","0","0","1",,"0",0.00,0.00,0.00,,0.00,"215","0",,0.00000000000,0.00000000000,,,,,,"14","14"
MPONDA,MCHINJI,MATERNITY,,BOX 32 MCHINJI,,"21.7",31min,33.013611,-13.701667,13 42 06 - 33 00,,1998/03/05,TAR/DIRT - GOOD,"2","50","1969",PRIVATE,PVT,"0","0","240","0","0",,"0",0.00,0.00,0.00,,12000.00,"216","0",,0.00000000000,0.00000000000,,,,,,"15","15"
MWAYIWATHU,MCHINJI,DISPENSARY,,BOX 59 KAPIRI,,"81.7",1hr 15min,33.275000,-13.434722,13 26 05 - 33 16,,1998/03/02,TAR - GOOD,"0","0","1994",PRIVATE,PVT,"0","4000","0","0","0",,"0",0.00,0.00,0.00,,120000.00,"217","0",,0.00000000000,0.00000000000,,,,,,"16","16"
MIKUNDI,MCHINJI,DISPENSARY/MATERNITY,,PA MYKUNDI,,"36",50min,33.138611,-13.703889,13 42 14 - 33 08,,1998/03/05,TAR/DIRT - FAIR,"13","15","1986",MOH,MOH,"12000","60000","360","0","1",,"0",0.00,0.00,0.00,,0.00,"218","0",,0.00000000000,0.00000000000,,,,,,"17","17"
NAMIZANA,MCHINJI,DISPENSARY,,BOX 131 NAMITETE,,"55",1hr,33.263333,-13.991389,13 59 29 - 33 15,,1998/03/05,TAR/DIRT - GOOD,"0","0","1984",POLICE,POLICE,"0","5200","0","0","0",,"0",0.00,0.00,0.00,,0.00,"219","0",,0.00000000000,0.00000000000,,,,,,"18","18"
